Estructura,Gradiente Centro-Periferia,Balanza de Poder Comercial Promedio,Balanza de Entropía [bit] Promedio,Balanza Comercial [USD] Promedio,Balanza de Materia [Tm] Promedio,Balanza de Unicidad Promedio,Gradiente Centro-Periferia Std,Balanza de Poder Comercial Std,Balanza de Entropía [bit] Std,Balanza Comercial [USD] Std,Balanza de Materia [Tm] Std,Balanza de Unicidad Std
Centro,0.40219636188765384,0.4835199653509737,-0.08062068625628559,29010934699.703613,-391076674.10608613,0.003215115629055825,0.35556924898860975,0.44874517487655524,1.1538210950497143,409597382089.7561,539588175.1785105,0.018489202223255823
Periferia,0.006676975401907081,0.008231313609403105,-2.283656559608543,-3938321646.6475244,60279344.46495753,-0.009321266604695502,0.013158621689102614,0.01618305472418657,1.9085931472514834,92964643944.12054,332851524.67796725,0.036164000396956685
